address,notes
0x0040109B,"E9 target 0x00412E60 serializes mode lift endpoint pairs. Target source is unrecovered; needs a separate 0x00412E60 owner recovery."
0x004010A0,"E9 target 0x004323B0 reads field +0x30. Wrapper reuses recovered get_object_field_0x30 target; full build passes, reccmp remains 0%."
0x004010AA,"E9 target 0x00414DA0 is recovered as ConstructManagedEntityQueueCursorThunk. Thiscall wrapper compiles; reccmp remains 0%."
0x004010B4,"E9 target 0x004201C0 arms randomized delayed move. Target source is unrecovered; needs a separate 0x004201C0 owner recovery."
0x004010B9,"E9 target 0x00415D90 updates managed-entity heading. Target source is unrecovered; needs a separate 0x00415D90 owner recovery."
0x004010BE,"Existing CopyWorldPosition thunk compiles but remains 0% in full reccmp."
0x004010CD,"E9 target 0x00417D50 destroys EFF stream base. Target source is unrecovered; needs a separate 0x00417D50 owner recovery."
0x004010D2,"E9 target 0x00416640 releases managed-entity slot ID. Target source is unrecovered; needs a separate 0x00416640 owner recovery."
0x004010E1,"100%; MoveMenuSelectorNextThunk."
0x004010E6,"E9 target 0x00409CA0 constructs INVS chunk object. Target source is unrecovered; needs a separate 0x00409CA0 owner recovery."
0x004010F0,"Existing ConstructPrimaryContext thunk compiles; full reccmp remains 0%."
0x004010FA,"Existing SwitchMainGameMode wrapper compiles; full reccmp remains 0%."
0x004010FF,"Existing ConstructLevelSelectionScreen wrapper compiles; full reccmp remains 0%."
0x00401104,"100%; UpdateMainGameVariantResourceLoadProgressThunk."
0x0040110E,"100%; RefreshFramedScreenRenderEntryGroupThunk."
0x00401113,"E9 target 0x00415F30 prepends and advances managed-entity move command. Target source is unrecovered; needs a separate 0x00415F30 owner recovery."
