address,state,baseline_percent,match_percent,updated,notes
0x00401118,unseen,,,2026-07-26T13:08:32+00:00,
0x00401122,unseen,,,2026-07-26T13:08:32+00:00,
0x00401127,unseen,,,2026-07-26T13:08:32+00:00,
0x0040112C,unseen,,,2026-07-26T13:08:32+00:00,
0x00401131,unseen,,,2026-07-26T13:08:32+00:00,
0x00401140,unseen,,,2026-07-26T13:08:32+00:00,
0x00401145,unseen,,,2026-07-26T13:08:32+00:00,
0x0040114A,blocked,0.000000,0.000000,2026-07-26T13:17:07+00:00,Ghidra original is E9 jump to 0x0040ced0. Inline assembly attempt rejected; recover compiler-generated C/C++ tail jump.
0x0040114F,unseen,,,2026-07-26T13:08:32+00:00,
0x00401154,unseen,,,2026-07-26T13:08:32+00:00,
0x00401163,unseen,,,2026-07-26T13:08:32+00:00,
0x0040117C,matched,100.000000,100.000000,2026-07-26T13:08:32+00:00,
0x00401181,unseen,,,2026-07-26T13:08:32+00:00,
0x00401186,unseen,,,2026-07-26T13:08:32+00:00,
0x0040118B,unseen,,,2026-07-26T13:08:32+00:00,
0x00401190,matched,100.000000,100.000000,2026-07-26T13:08:32+00:00,
