code_file,name_length_offset,name_offset,symbol_flags,mangled_name
CODE_01_Visos (Mac Specific).bin,0x00000674,0x00000675,0x80,__dt__17CBaseQueueHandlerFv
CODE_01_Visos (Mac Specific).bin,0x00000785,0x00000786,0x00,ProcessMsg__11CTranslatorFP10tagMESSAGE
CODE_01_Visos (Mac Specific).bin,0x0000082C,0x0000082D,0x80,__dt__10cstrstreamFv
CODE_01_Visos (Mac Specific).bin,0x0000084C,0x0000084D,0x80,EnterCritical__9CCriticalFv
CODE_01_Visos (Mac Specific).bin,0x00000872,0x00000873,0x80,LeaveCritical__9CCriticalFv
CODE_01_Visos (Mac Specific).bin,0x000008CA,0x000008CB,0x80,__dt__11CTranslatorFv
CODE_01_Visos (Mac Specific).bin,0x0000092A,0x0000092B,0x80,__dt__12CPVFontTableFv
CODE_01_Visos (Mac Specific).bin,0x0000097E,0x0000097F,0x80,__dt__12CResBaseLISTFv
CODE_01_Visos (Mac Specific).bin,0x000009D2,0x000009D3,0x80,__dt__12CResVRAMBaseFv
CODE_01_Visos (Mac Specific).bin,0x00000A18,0x00000A19,0x80,__dt__10CPrimitiveFv
CODE_01_Visos (Mac Specific).bin,0x00000A66,0x00000A67,0x80,__dt__7CBitmapFv
CODE_01_Visos (Mac Specific).bin,0x00000AB0,0x00000AB1,0x80,__dt__5CZRLEFv
CODE_01_Visos (Mac Specific).bin,0x00000AF8,0x00000AF9,0x80,__dt__5CLineFv
CODE_01_Visos (Mac Specific).bin,0x00000B64,0x00000B65,0x80,__dt__5CTextFv
CODE_01_Visos (Mac Specific).bin,0x00000BA4,0x00000BA5,0x80,__dt__15CHotAreaHandlerFv
CODE_01_Visos (Mac Specific).bin,0x00000BF6,0x00000BF7,0x80,__dt__11CZBuffClearFv
CODE_01_Visos (Mac Specific).bin,0x00000C44,0x00000C45,0x80,__dt__15CCopyToBackBuffFv
CODE_01_Visos (Mac Specific).bin,0x00000C96,0x00000C97,0x80,__dt__10CSolidRectFv
CODE_01_Visos (Mac Specific).bin,0x00000CE4,0x00000CE5,0x80,__dt__11CPushActiveFv
CODE_01_Visos (Mac Specific).bin,0x00000D32,0x00000D33,0x80,__dt__10CPopActiveFv
CODE_01_Visos (Mac Specific).bin,0x00000DC4,0x00000DC5,0x80,DisplayRelAssert__FPvPvUi
CODE_01_Visos (Mac Specific).bin,0x00000E0A,0x00000E0B,0x80,__dt__10CMRAMBlockFv
CODE_01_Visos (Mac Specific).bin,0x00000E36,0x00000E37,0x80,SetType__7CResINTFv
CODE_01_Visos (Mac Specific).bin,0x00000E64,0x00000E65,0x80,OnLoad__7CResINTFv
CODE_01_Visos (Mac Specific).bin,0x00000EB4,0x00000EB5,0x80,__dt__7CResINTFv
CODE_01_Visos (Mac Specific).bin,0x00000ED8,0x00000ED9,0x80,SetType__8CResBaseFv
CODE_01_Visos (Mac Specific).bin,0x00000F0A,0x00000F0B,0x80,SetType__11CResPALETTEFv
CODE_01_Visos (Mac Specific).bin,0x00000F3E,0x00000F3F,0x80,SetHeader__11CResPALETTEFv
CODE_01_Visos (Mac Specific).bin,0x00000F96,0x00000F97,0x80,__dt__11CResPALETTEFv
CODE_01_Visos (Mac Specific).bin,0x00000FC2,0x00000FC3,0x80,SetType__10CResSTRINGFv
CODE_01_Visos (Mac Specific).bin,0x00001016,0x00001017,0x80,__dt__10CResSTRINGFv
CODE_01_Visos (Mac Specific).bin,0x00001042,0x00001043,0x80,SetType__10CResEFFECTFv
CODE_01_Visos (Mac Specific).bin,0x00001096,0x00001097,0x80,__dt__10CResEFFECTFv
CODE_01_Visos (Mac Specific).bin,0x000010C2,0x000010C3,0x80,SetType__7CResBINFv
CODE_01_Visos (Mac Specific).bin,0x00001112,0x00001113,0x80,__dt__7CResBINFv
CODE_01_Visos (Mac Specific).bin,0x0000112E,0x0000112F,0x80,SetHeader__8CResBaseFv
CODE_01_Visos (Mac Specific).bin,0x00001158,0x00001159,0x80,GetfVramLoaded__8CResBaseFv
CODE_01_Visos (Mac Specific).bin,0x00001186,0x00001187,0x80,GetfVramSwappable__8CResBaseFv
CODE_01_Visos (Mac Specific).bin,0x000011B8,0x000011B9,0x80,GetfAnyVramLoaded__8CResBaseFv
CODE_01_Visos (Mac Specific).bin,0x000011E4,0x000011E5,0x80,ForceLoadVram__8CResBaseFv
CODE_01_Visos (Mac Specific).bin,0x0000120A,0x0000120B,0x80,UnLoadVramData__8CResBaseFUc
CODE_01_Visos (Mac Specific).bin,0x0000123A,0x0000123B,0x80,GetData__8CResBaseFv
CODE_01_Visos (Mac Specific).bin,0x0000125A,0x0000125B,0x80,OnLoad__8CResBaseFv
CODE_01_Visos (Mac Specific).bin,0x00001278,0x00001279,0x80,OnUnLoad__8CResBaseFv
CODE_01_Visos (Mac Specific).bin,0x000012A0,0x000012A1,0x80,GetSizeUsed__8CResBaseFv
CODE_01_Visos (Mac Specific).bin,0x000012C6,0x000012C7,0x80,HasZBuff__10CPVSurfaceFv
CODE_01_Visos (Mac Specific).bin,0x000012EA,0x000012EB,0x80,Resize__10CPVSurfaceFRC7CVSSize
CODE_01_Visos (Mac Specific).bin,0x00001316,0x00001317,0x80,HasBackBuff__10CPVSurfaceFv
CODE_01_Visos (Mac Specific).bin,0x0000133C,0x0000133D,0x80,SetWorldWidth__10CPVSurfaceFi
CODE_01_Visos (Mac Specific).bin,0x00001366,0x00001367,0x80,GetWorldWidth__10CPVSurfaceFv
CODE_01_Visos (Mac Specific).bin,0x00001396,0x00001397,0x80,HasZBuff__15CPVZBuffSurfaceFv
CODE_01_Visos (Mac Specific).bin,0x000013CC,0x000013CD,0x80,Update__9CTimeStatFUl
CODE_01_Visos (Mac Specific).bin,0x000013FA,0x000013FB,0x80,Draw__11CPushActiveFP4CGDI
CODE_01_Visos (Mac Specific).bin,0x0000144C,0x0000144D,0x80,Render__11CPushActiveFP4CGDI
CODE_01_Visos (Mac Specific).bin,0x00001482,0x00001483,0x80,Draw__10CPopActiveFP4CGDI
CODE_01_Visos (Mac Specific).bin,0x000014CA,0x000014CB,0x80,Render__10CPopActiveFP4CGDI
CODE_01_Visos (Mac Specific).bin,0x0000152E,0x0000152F,0x80,Draw__5CZRLEFP4CGDI
CODE_01_Visos (Mac Specific).bin,0x00001580,0x00001581,0x80,Render__5CZRLEFP4CGDI
CODE_01_Visos (Mac Specific).bin,0x000015DE,0x000015DF,0x80,Draw__7CBitmapFP4CGDI
CODE_01_Visos (Mac Specific).bin,0x00001632,0x00001633,0x80,Render__7CBitmapFP4CGDI
CODE_01_Visos (Mac Specific).bin,0x0000169C,0x0000169D,0x80,Draw__10CBigBitmapFP4CGDI
CODE_01_Visos (Mac Specific).bin,0x000016FC,0x000016FD,0x80,Render__10CBigBitmapFP4CGDI
CODE_01_Visos (Mac Specific).bin,0x0000173B,0x0000173C,0x00,Blit__8CSurfaceFP10CBigBitmapP10CResBITMAP
CODE_01_Visos (Mac Specific).bin,0x000017A8,0x000017A9,0x80,__dt__10CBigBitmapFv
CODE_01_Visos (Mac Specific).bin,0x0000181A,0x0000181B,0x80,Draw__5CAnimFP4CGDI
CODE_01_Visos (Mac Specific).bin,0x0000187E,0x0000187F,0x80,Render__5CAnimFP4CGDI
CODE_01_Visos (Mac Specific).bin,0x000018D6,0x000018D7,0x80,__dt__5CAnimFv
CODE_01_Visos (Mac Specific).bin,0x000018FE,0x000018FF,0x80,Draw__5CLineFP4CGDI
CODE_01_Visos (Mac Specific).bin,0x00001936,0x00001937,0x80,Render__5CLineFP4CGDI
CODE_01_Visos (Mac Specific).bin,0x00001964,0x00001965,0x80,Draw__10CSolidRectFP4CGDI
CODE_01_Visos (Mac Specific).bin,0x000019A2,0x000019A3,0x80,Render__10CSolidRectFP4CGDI
CODE_01_Visos (Mac Specific).bin,0x000019D6,0x000019D7,0x80,Draw__12CDrawingMarkFP4CGDI
CODE_01_Visos (Mac Specific).bin,0x00001A1C,0x00001A1D,0x80,Render__12CDrawingMarkFP4CGDI
CODE_01_Visos (Mac Specific).bin,0x00001A72,0x00001A73,0x80,__dt__12CDrawingMarkFv
CODE_01_Visos (Mac Specific).bin,0x00001AA2,0x00001AA3,0x80,Draw__9CClipRectFP4CGDI
CODE_01_Visos (Mac Specific).bin,0x00001ADE,0x00001ADF,0x80,Render__9CClipRectFP4CGDI
CODE_01_Visos (Mac Specific).bin,0x00001B30,0x00001B31,0x80,__dt__9CClipRectFv
CODE_01_Visos (Mac Specific).bin,0x00001BB6,0x00001BB7,0x80,__dt__9CCopyTextFv
CODE_01_Visos (Mac Specific).bin,0x00001C25,0x00001C26,0x00,Set__9CCopyTextFiiP8CResFONTPCcUlP6CRemap
CODE_01_Visos (Mac Specific).bin,0x00001CAD,0x00001CAE,0x00,Set__9CCopyTextFRC8CVSPointP8CResFONT7CStringUlP6CRemap
CODE_01_Visos (Mac Specific).bin,0x00001D43,0x00001D44,0x00,Set__9CCopyTextFiiP8CResFONT7CStringUlP6CRemap
