# Compiler-generated functions without standalone source implementations.
address,name,symbol,type,source
0x00406130,EhVectorDestructorIterator,,synthetic,src/SHELL/OPTIONS.CPP
0x00406BA0,ComputeLevelPasswordChecksumAuto,,synthetic,src/GAME.CPP
0x00407E10,DeleteStreamFormatStateAuto,,synthetic,src/LEVEL/LEVELVT.CPP
0x00407EF0,DeleteSimpleVtableObject407EF0,,synthetic,src/LEVEL/LEVELVT.CPP
0x00407F40,DeleteStartupModeAuto,,synthetic,src/GAME.CPP
0x00407F70,DeleteMainMenuModeAuto,,synthetic,src/GAME.CPP
0x00407FA0,DeleteOptionsModeAuto,,synthetic,src/GAME.CPP
0x00407FD0,DeleteDerivedBaseModeWrapperAuto,,synthetic,src/GAME.CPP
0x00408010,DeleteSimpleVtableObject408010,,synthetic,src/LEVEL/LEVELVT.CPP
0x004098B0,DeleteLevelDemoPlaybackControllerAuto,,synthetic,src/LEVEL/DEMO.CPP
0x0040AC30,DeleteLevelChunkStreamAuto,,synthetic,src/LEVEL/TYPE18.CPP
0x0040B450,DeleteLevelChunkStreamDispatcherAuto,,synthetic,src/LEVEL/LEVELRUN.CPP
0x0040CE50,DeleteLevelChunkObjectBaseScalarA,,synthetic,src/LEVEL/LEVELVT.CPP
0x0040CEA0,DeleteLevelChunkObjectBaseScalarB,,synthetic,src/LEVEL/TYPE18.CPP
0x0040EB70,LinkScfSmallFunctionView::GetLevelTileGridCellPointer,,synthetic,src/ENGINE/CORE/LINKSCF.CPP
0x0040EBE0,DeleteDoorChunkManagerAuto,,synthetic,src/ENGINE/CORE/LINKSCF.CPP
0x00410AC0,LevelVtSmallFunctionView::AddClampedU16Field228,,synthetic,src/LEVEL/LEVELVT.CPP
0x00410B20,DeleteDoorChunkObjectAuto,,synthetic,src/LEVEL/LEVELVT.CPP
0x00410B70,Door chunk-object deleting-destructor `adjustor thunk' (-0x138),,synthetic,src/LEVEL/LEVELVTDOOR.CPP
0x00413090,ReturnTrueVirtualHookBodyStdcall,,synthetic,src/LEVEL/LEVELSTAT.CPP
0x00413390,LevelVtSmallFunctionView::AddLevelScoreClamped,,synthetic,src/LEVEL/LEVELVT.CPP
0x00413DF0,DeleteEffStreamBaseWrapperAuto,,synthetic,src/GAME.CPP
0x00413E30,DeleteLevelGameModeAuto,,synthetic,src/GAME.CPP
0x00414C80,DeleteLevelChunkObjectChildrenVariant14C80,,synthetic,src/LEVEL/LEVELVT.CPP
0x00414F00,DeleteManagedEntityQueueCursorAuto,,synthetic,src/LEVEL/LEVELVT.CPP
