# CRT, runtime, and external library functions.
address,name,symbol,type,source
0x00462E80,timeGetTime,timeGetTime,library,external import thunk
0x00462E90,timeGetTime,timeGetTime,library,external import thunk
0x0047B8D0,WSAGetLastError,_WSAGetLastError@0,library,external/runtime library
0x0047FAC0,_toupper,_toupper,library,legacy snapshot + decompiler review
0x0047FB10,__toupper_lk,__toupper_lk,library,Ghidra FID + decompiler review
0x0047FC00,__isctype,__isctype,library,Ghidra FID + decompiler review
0x0047FCA0,__purecall,_purecall,library,external/runtime library
0x0047FDA0,_strrchr,_strrchr,library,Ghidra FID + decompiler review
0x0047FDD0,_strncpy,_strncpy,library,legacy snapshot + decompiler review
0x0047FE00,_strchr,_strchr,library,external/runtime library
0x0047FE20,_WinMainCRTStartup,_WinMainCRTStartup,library,external/runtime library
0x0047FFC0,__amsg_exit,__amsg_exit,library,Ghidra FID + decompiler review
0x0047FFF0,_free,_free,library,legacy snapshot + decompiler review
0x00480010,_strncmp,_strncmp,library,external/runtime library
0x00480060,_tolower,_tolower,library,legacy snapshot + decompiler review
0x004800B0,__tolower_lk,__tolower_lk,library,Ghidra FID + decompiler review
0x00480198,__setjmp3,__setjmp3,library,external/runtime library
0x00480214,_longjmp,_longjmp,library,external/runtime library
0x00480290,_memcpy,_memcpy,library,external/runtime library
0x004803E0,__fsopen,__fsopen,library,Ghidra FID + decompiler review
0x00480420,_fopen,_fopen,library,external/runtime library
0x00480440,_fclose,_fclose,library,external/runtime library
0x00480480,__fclose_lk,__fclose_lk,library,Ghidra FID + decompiler review
0x004804E0,_fread,_fread,library,external/runtime library
0x00480520,__fread_lk,__fread_lk,library,Ghidra FID + decompiler review
0x00480670,_fflush,_fflush,library,external/runtime library
0x004806B0,__fflush_lk,__fflush_lk,library,Ghidra FID + decompiler review
0x004806F0,__flush,__flush,library,Ghidra FID + decompiler review
0x00480770,_flsall,_flsall,library,legacy snapshot + decompiler review
0x00480830,_fwrite,_fwrite,library,external/runtime library
0x00480870,__fwrite_lk,__fwrite_lk,library,Ghidra FID + decompiler review
0x004809F0,_ftell,_ftell,library,external/runtime library
0x00480A20,__ftell_lk,__ftell_lk,library,legacy snapshot + decompiler review
0x00480BD0,_fseek,_fseek,library,external/runtime library
0x00480C10,__fseek_lk,__fseek_lk,library,Ghidra FID + decompiler review
0x00480CB0,_atol,_atol,library,Ghidra FID + decompiler review
0x00480D60,_atoi,_atoi,library,Ghidra FID + decompiler review
0x00480D70,_malloc,_malloc,library,external/runtime library
0x00480D90,_nh_malloc,_nh_malloc,library,legacy snapshot + decompiler review
0x00480DD0,_heap_alloc,_heap_alloc,library,legacy snapshot + decompiler review
0x00480DF0,__mtinitlocks,__mtinitlocks,library,Ghidra FID + decompiler review
0x00480E20,__mtdeletelocks,__mtdeletelocks,library,Ghidra FID + decompiler review
0x00480E90,__lock,__lock,library,Ghidra FID + decompiler review
0x00480F00,__unlock,__unlock,library,legacy snapshot + decompiler review
0x00480F20,__lock_file,__lock_file,library,Ghidra FID + decompiler review
0x00480F60,__lock_file2,__lock_file2,library,Ghidra FID + decompiler review
0x00480F90,__unlock_file,__unlock_file,library,Ghidra FID + decompiler review
