# Original LINK 3.00 incremental-link entries imported as non-progress stubs.
address,name,symbol,type,source
0x0040100F,EmitIteratedChildBoundsRecords,,stub,src/ENGINE/CORE/LINKSCF.H
0x00401019,update_projectile_pool_real,,stub,src/ENGINE/CORE/LINKSCF.H
0x00401078,GetFirstCachedChunkObject,,stub,src/ENGINE/CORE/LINKSCF.H
0x004010A0,VS_RootGeometryOwner::GetWindowOwnerState,,stub,src/GAME.CPP
0x004010E1,MoveMenuSelectorNextThunk,,stub,src/FRONTEND/MENUSEL.H
0x00401154,DestroyQueuedVariantRangeEntryAutoThunk,,stub,src/FRONTEND/MENUSEL.CPP
0x00401159,ActivatePgunChunkObjects,,stub,src/ENGINE/CORE/LINKSCF.H
0x00401177,RefreshActiveCaptureTriggerChunkObjects,,stub,src/ENGINE/CORE/LINKSCF.H
0x0040119F,VS_WindowOwnerBase::ReservedWindowOwnerSlot37,,stub,src/ENGINE/GDI/VSWINDOW.H
0x004011A9,GetManagedEntityGroupCount,,stub,src/ENGINE/CORE/LINKSCF.H
0x004011AE,ManagedEntityChildView::SetManagedEntityOwnerGroup,?SetManagedEntityOwnerGroup@ManagedEntityChildView@@QAEXPAX@Z,stub,src/LEVEL/LEVELVT.CPP
0x004011DB,DestroyDoorChunkObjectAutoThunk,,stub,src/ENGINE/CORE/LINKSCF.CPP
0x00401212,DestroyTramChunkManagerAutoThunk,,stub,src/ENGINE/CORE/LINKSCF.CPP
0x0040126C,LevelChunkStreamWriteView::AppendLevelChunkStreamPayload,?AppendLevelChunkStreamPayload@LevelChunkStreamWriteView@@QAEXPAUVsNetEffStreamBase@@@Z,stub,src/LEVEL/LEVELVTNETSTATE.CPP
0x00401271,DestroyLevelGameModeAutoThunk,,stub,src/GAME.CPP
0x004012A3,ProjectilePool::RemoveObject,?RemoveObject@ProjectilePool@@QAEXPAX@Z,stub,src/LEVEL/LEVELVT.CPP
0x0040132A,GameScreenObject::ConstructMainMenuScreen,,stub,src/GAME.H
0x0040137F,ActivateIteratedLevelChunkChildren,?ActivateIteratedLevelChunkChildren@@YIXPAX@Z,stub,src/LEVEL/LEVELRUNITERATOR.CPP
0x004013DE,ActivateTramChunkObjects,,stub,src/ENGINE/CORE/LINKSCF.H
0x00401406,DestroyMenuSelectorManagerAutoThunk,,stub,src/FRONTEND/MENUSEL.CPP
0x00401433,LevelChunkStreamWriteView::FlushLevelChunkStreamWrite,?FlushLevelChunkStreamWrite@LevelChunkStreamWriteView@@QAEXXZ,stub,src/LEVEL/LEVELVTNETSTATE.CPP
0x0040143D,DestroyPaintballSequenceScreenAutoThunk,,stub,src/FRONTEND/MAINMENU.CPP
0x004014AB,PopLevelPlasHistoryChild,?PopLevelPlasHistoryChild@@YIHPAX@Z,stub,src/LEVEL/LEVELRUN.CPP
0x004014CE,UpdateMenuSelectorAnimationThunk,,stub,src/FRONTEND/MENUSEL.H
0x004014F1,DestroyLevelChunkStreamDispatcherAutoThunk,,stub,src/LEVEL/LEVELRUN.CPP
0x004014FB,ActivateLasrChunkObjects,,stub,src/ENGINE/CORE/LINKSCF.H
0x00401500,UpdateManagedEntityBoundsFromPosition,?UpdateManagedEntityBoundsFromPosition@@YIXPAX@Z,stub,src/LEVEL/LEVELRUN.CPP
0x0040150F,VS_RootGeometryOwner::AppendQueuedRenderSinkValueNode,,stub,src/ENGINE/GDI/VSWINDOW.H
0x00401514,VS_WindowOwnerBase::ReservedWindowOwnerSlot21,,stub,src/ENGINE/GDI/VSWINDOW.H
0x0040153C,LevelChunkObjectBaseView::InitializeLevelChunkObjectBase,,stub,src/ENGINE/CORE/LINKSCF.CPP
0x004015A0,GameScreenObject::ConstructNetworkLobbyScreen,,stub,src/GAME.H
0x004015DC,EmitActivePgunChunkManagerRenderEntries,,stub,src/ENGINE/CORE/LINKSCF.H
0x00401672,EmitLasrChunkManagerRenderEntries,,stub,src/ENGINE/CORE/LINKSCF.H
0x004016B3,RequestLiftChunkObjectActivationState,?RequestLiftChunkObjectActivationState@@YIHPAX@Z,stub,src/ENGINE/CORE/LINKSCFLIFTACTION.CPP
0x00401730,SerializeManagedEntityTypeAndSlotId,?SerializeManagedEntityTypeAndSlotId@@YIXPAX@Z,stub,src/LEVEL/LEVELRUN.CPP
0x00401749,ResetInvsChunkObjectStateThunk,,stub,src/ENGINE/CORE/LINKSCF.CPP
0x004017DF,AttachAndActivateChunkObject,,stub,src/ENGINE/CORE/LINKSCF.H
0x0040180C,ResetManagedEntityRuntimeStateThunk,,stub,src/LEVEL/LEVELVT.CPP
0x00401843,DestroyNetworkLobbyScreenAutoThunk,,stub,src/FRONTEND/MAINMENU.CPP
0x004018CF,VS_WindowOwnerBase::IsCurrentWindowOwnerContext,,stub,src/ENGINE/GDI/VSWINDOW.H
0x004018D9,AdvanceIceChunkManagerObjects,,stub,src/ENGINE/CORE/LINKSCF.H
0x004018F7,SelectMenuSelectorSide0Thunk,,stub,src/FRONTEND/MENUSEL.H
0x00401942,RefreshActiveLasrChunkObjects,,stub,src/ENGINE/CORE/LINKSCF.H
0x00401956,EmitCollChunkManagerRenderEntries,,stub,src/ENGINE/CORE/LINKSCF.H
0x004019C4,WriteEffStreamU32Field2C,,stub,src/ENGINE/MEDIA/EFFSTRM.H
0x00401A0A,get_first_projectile_pool_object,?get_first_projectile_pool_object@@YIPAXPAX@Z,stub,src/LEVEL/LEVELVT.CPP
0x00401AC3,LevelManagedEntityChildIterator::AppendChild,?AppendChild@LevelManagedEntityChildIterator@@QAEXPAX@Z,stub,src/LEVEL/LEVELVT.CPP
0x00401ADC,HandleMenuSelectorEventThunk,,stub,src/FRONTEND/MENUSEL.H
0x00401B31,DoorChunkObjectActionView::RequestDoorChunkObjectTriggerTransition,?RequestDoorChunkObjectTriggerTransition@DoorChunkObjectActionView@@QAEXXZ,stub,src/ENGINE/CORE/LINKSCFDOORACTION.CPP
0x00401B95,ResetAllInvsChunkObjects,,stub,src/ENGINE/CORE/LINKSCF.H
0x00401BC2,DeleteMenuSelectorEntryThunk,,stub,src/FRONTEND/MENUSEL.H
0x00401BEA,ResetProjectilePool,,stub,src/ENGINE/CORE/LINKSCF.H
0x00401C49,DeleteRegisteredRenderSlotArrayAuto,,stub,src/GAME.H
0x00401C9E,DeleteMenuSelectorManagerThunk,,stub,src/FRONTEND/MENUSEL.H
0x00401CAD,EmitRockChunkManagerRenderEntries,,stub,src/ENGINE/CORE/LINKSCF.H
0x00401CBC,RemoveOwnerChildIfNoNestedEntries,,stub,src/ENGINE/CORE/LINKSCF.H
0x00401CC1,DestroyRockChunkManagerAutoThunk,,stub,src/LEVEL/LEVELVT.CPP
0x00401D16,DestroyProjectilePoolAutoThunk,,stub,src/ENGINE/CORE/LINKSCF.CPP
0x00401D43,SetMenuSelectorChildrenEnabledThunk,,stub,src/FRONTEND/MENUSEL.H
0x00401DA2,DestroyOptionsScreenAutoThunk,,stub,src/FRONTEND/MAINMENU.CPP
0x00401DC0,RefreshActiveMineChunkObjects,,stub,src/ENGINE/CORE/LINKSCF.H
0x00401E29,VS_WindowOwnerBase::ReservedWindowOwnerSlot19,,stub,src/ENGINE/GDI/VSWINDOW.H
0x00401E9C,DispatchDoorChildArrayVirtual104,,stub,src/ENGINE/CORE/LINKSCF.H
