# Library functions absent from reconstructed source.
address,name,symbol,type
0x0047B8D0,WSAGetLastError,_WSAGetLastError@0,library
0x0047FCA0,__purecall,_purecall,library
0x0047FE00,_strchr,_strchr,library
0x0047FE20,_WinMainCRTStartup,_WinMainCRTStartup,library
0x00480010,_strncmp,_strncmp,library
0x00480198,__setjmp3,__setjmp3,library
0x00480290,_memcpy,_memcpy,library
0x00480420,_fopen,_fopen,library
0x00480440,_fclose,_fclose,library
0x004804E0,_fread,_fread,library
0x00480670,_fflush,_fflush,library
0x00480830,_fwrite,_fwrite,library
0x004809F0,_ftell,_ftell,library
0x00480BD0,_fseek,_fseek,library
