id,start,end,function_count,code_bytes
text-001,0x00401005,0x0040109B,16,80
text-002,0x0040109B,0x00401118,16,80
text-003,0x00401118,0x00401195,16,80
text-004,0x00401195,0x00401212,16,80
text-005,0x00401212,0x0040128A,16,80
text-006,0x0040128A,0x004012E4,16,80
text-007,0x004012E4,0x00401352,16,80
text-008,0x00401352,0x00401415,16,80
text-009,0x00401415,0x00401483,16,79
text-010,0x00401483,0x00401500,16,80
text-011,0x00401500,0x00401591,16,80
text-012,0x00401591,0x00401613,16,76
text-013,0x00401613,0x004016A4,16,80
text-014,0x004016A4,0x00401721,16,80
text-015,0x00401721,0x0040178F,16,79
text-016,0x0040178F,0x004017F3,16,80
text-017,0x004017F3,0x0040185C,16,80
text-018,0x0040185C,0x004018C5,16,80
text-019,0x004018C5,0x00401942,16,80
text-020,0x00401942,0x004019CE,16,80
text-021,0x004019CE,0x00401A73,16,80
text-022,0x00401A73,0x00401AE6,16,80
text-023,0x00401AE6,0x00401B9F,16,80
text-024,0x00401B9F,0x00401C35,16,80
text-025,0x00401C35,0x00401CB7,16,80
text-026,0x00401CB7,0x00401D43,16,80
text-027,0x00401D43,0x00401DCF,16,80
text-028,0x00401DCF,0x00401E47,16,80
text-029,0x00401E47,0x00401EBF,16,80
text-030,0x00401EBF,0x00401F37,16,80
text-031,0x00401F37,0x00401FB4,16,80
text-032,0x00401FB4,0x00402036,16,80
text-033,0x00402036,0x004020D6,16,80
text-034,0x004020D6,0x00402153,16,80
text-035,0x00402153,0x004021D0,16,80
text-036,0x004021D0,0x0040225C,16,80
text-037,0x0040225C,0x004022D4,16,80
text-038,0x004022D4,0x0040237E,16,80
text-039,0x0040237E,0x004023E7,16,80
text-040,0x004023E7,0x00402450,16,80
text-041,0x00402450,0x004024DC,16,80
text-042,0x004024DC,0x0040256D,16,80
text-043,0x0040256D,0x004025F4,16,80
text-044,0x004025F4,0x00402676,16,80
text-045,0x00402676,0x004026F8,16,80
text-046,0x004026F8,0x00402784,16,80
text-047,0x00402784,0x004027E8,16,80
text-048,0x004027E8,0x0040286A,16,79
text-049,0x0040286A,0x004028EC,16,80
text-050,0x004028EC,0x0040296E,16,80
text-051,0x0040296E,0x004029BE,16,80
text-052,0x004029BE,0x00402A36,16,80
text-053,0x00402A36,0x00402AA9,16,80
text-054,0x00402AA9,0x00402B1C,16,80
text-055,0x00402B1C,0x00402B99,16,80
text-056,0x00402B99,0x00402C20,16,80
text-057,0x00402C20,0x00402CA2,16,80
text-058,0x00402CA2,0x00402D24,16,80
text-059,0x00402D24,0x00402D92,16,80
text-060,0x00402D92,0x00402DF1,16,80
text-061,0x00402DF1,0x00402E4B,16,80
text-062,0x00402E4B,0x00402EC8,16,80
text-063,0x00402EC8,0x00402F4A,16,80
text-064,0x00402F4A,0x00402FC2,16,80
text-065,0x00402FC2,0x0040303A,16,80
text-066,0x0040303A,0x004030BC,16,80
