0x412eb0	AppendType18ChunkObjectFromTileCoords	CAI_AddNewTrapDoor	CAI::AddNewTrapDoor
0x40f600	StartDoorChunkObjectVerticalMotion	CPlayerLemming_HitMine	CPlayerLemming::HitMine
0x40f960	HasProjectileRequestCodeQueued	CPlayerLemming_HasObject	CPlayerLemming::HasObject
0x414e80	HandleQueueCursorEvent	CAICursor_ProcessMsg	CAICursor::ProcessMsg
0x40be20	ServiceType35ChunkObjects	CSlinkyManager_Process	CSlinkyManager::Process
0x437da0	SetLevelScreenPauseRequestedState	C2D_TriggerPause	C2D::TriggerPause
0x4275f0	ResetTileFlag1cObject	CDuplicator_Restart	CDuplicator::Restart
0x45da50	ReleaseListEntryPair	CResFONT_UnLoadResources	CResFONT::UnLoadResources
0x4125c0	TryApplyTramChunkOverlapImpulse	CAI_HitTrampoline	CAI::HitTrampoline
0x4130d0	FindLevelModeMoveChunkContainingPoint	CAI_FindMoverHeight	CAI::FindMoverHeight
0x4127e0	FindProjectilePositionInRectFromLevelMode	CAI_BulletCheckGroupIntersection	CAI::BulletCheckGroupIntersection
0x436480	ReleaseLevelScreenPaletteRemapVariants	C2D_UnRegisterRemaps	C2D::UnRegisterRemaps
0x42f5e0	AppendMoveChunkObject	CMoverManager_Add	CMoverManager::Add
0x40f9b0	AppendProjectileRequestCode	CPlayerLemming_AddObject	CPlayerLemming::AddObject
0x41ccc0	ReleaseLinkedGmobChunkObject	CCrate_TriggerContents	CCrate::TriggerContents
0x41aca0	DispatchProjectilePacketByType	CBullet_Receive	CBullet::Receive
0x421ff0	RemoveBallChunkEntryFromActiveList	CBallManager_Delete	CBallManager::Delete
0x415780	PopFirstManagedEntityMoveCommandAndResetMotion	CGameObject_StopMoving	CGameObject::StopMoving
0x45da90	DispatchZrleListEntry	CResFONT_UnLoadVramData	CResFONT::UnLoadVramData
0x416820	DispatchManagedEntityChunkContactsFromCurrentTile	CGameObject_StartLand	CGameObject::StartLand
0x4381c0	RefreshViewportAnchor	C2D_OnButtonUp	C2D::OnButtonUp
0x422060	LoadBallChunkEntries	CBallManager_LoadLevel	CBallManager::LoadLevel
0x419490	EmitPlasChunkManagerRenderEntries	CPlayerLemmingGroupManager_GetViewData	CPlayerLemmingGroupManager::GetViewData
0x411b10	StartLevelGameModeSession	CAI_Start	CAI::Start
0x410250	SetManagedEntityIceAttachment	CPlayerLemming_OnConveyor	CPlayerLemming::OnConveyor
0x418ab0	ActivateOrQueueManagedEntityForLevelEntityId	CPlayerLemmingGroupManager_UseObject	CPlayerLemmingGroupManager::UseObject
0x418b60	SetActiveManagedEntityChildrenDoorTargetTile	CPlayerLemmingGroupManager_PlayerGroupRequestFire	CPlayerLemmingGroupManager::PlayerGroupRequestFire
0x45daf0	EnsureListGlyphLookupTable	CResFONT_OnLoad	CResFONT::OnLoad
0x41f820	ServiceCompositeChildrenAndSeekTarget	CSheepGroup_Process	CSheepGroup::Process
0x41fad0	Award150PointsAndEmitObjectCallback	CSheep_HitMine	CSheep::HitMine
0x420600	TurnChunkOppositeTargetFacing	CEnemy_HitBullet	CEnemy::HitBullet
0x438170	SetLevelScreenViewportAnchorPoint	C2D_OnInside	C2D::OnInside
0x41a760	ActivateProjectileObject	CBullet_FireBullet	CBullet::FireBullet
0x427050	EmitRockChunkManagerRenderEntries	CRocketManager_GetViewData	CRocketManager::GetViewData
0x42b4f0	EmitTramChunkManagerRenderEntries	CTrampolineManager_GetViewData	CTrampolineManager::GetViewData
0x42c520	EmitActivePgunChunkManagerRenderEntries	CPaintGunManager_GetViewData	CPaintGunManager::GetViewData
