mac_address,symbol,windows_address
10100004,__dt__17CBaseQueueHandlerFv,4098e0
10100692,ProcessMsg__11CTranslatorFP10tagMESSAGE,472a60
101007b0,__dt__10cstrstreamFv,
10100844,EnterCritical__9CCriticalFv,459990
1010086a,LeaveCritical__9CCriticalFv,4599a0
10100890,__dt__11CTranslatorFv,4599d0
101008e2,__dt__12CPVFontTableFv,473770
10100944,__dt__12CResBaseLISTFv,45e700
10100998,__dt__12CResVRAMBaseFv,
101009ec,__dt__10CPrimitiveFv,432350
10100a30,__dt__7CBitmapFv,4396e0
10100a7a,__dt__5CZRLEFv,467b40
10100a7a,__dt__5CZRLEFv,467ba0
10100ac2,__dt__5CLineFv,469930
10100b0a,__dt__5CTextFv,469b80
10100b0a,__dt__5CTextFv,469bf0
10100b76,__dt__15CHotAreaHandlerFv,439a40
10100bc0,__dt__11CZBuffClearFv,
10100c0e,__dt__15CCopyToBackBuffFv,4396b0
10100c60,__dt__10CSolidRectFv,432a90
10100cae,__dt__11CPushActiveFv,4397a0
10100cfc,__dt__10CPopActiveFv,4395c0
10100d4a,DisplayRelAssert__FPvPvUi,4734f0
10100de0,__dt__10CMRAMBlockFv,45a900
10100e22,SetType__7CResINTFv,45e910
10100e4c,OnLoad__7CResINTFv,45e920
10100e7a,__dt__7CResINTFv,45e930
10100ec8,SetType__8CResBaseFv,45e640
10100ef0,SetType__11CResPALETTEFv,45ea30
10100f26,SetHeader__11CResPALETTEFv,45ea40
10100f5c,__dt__11CResPALETTEFv,45ea50
10100fae,SetType__10CResSTRINGFv,45ea70
10100fdc,__dt__10CResSTRINGFv,45eac0
1010102e,SetType__10CResEFFECTFv,45eba0
1010105c,__dt__10CResEFFECTFv,45ebb0
101010ae,SetType__7CResBINFv,45ec60
101010d8,__dt__7CResBINFv,45ec70
10101126,SetHeader__8CResBaseFv,45e630
10101148,GetfVramLoaded__8CResBaseFv,45e5b0
10101176,GetfVramSwappable__8CResBaseFv,45e5c0
101011a8,GetfAnyVramLoaded__8CResBaseFv,45e5d0
101011da,ForceLoadVram__8CResBaseFv,45e5e0
10101202,UnLoadVramData__8CResBaseFUc,45e5f0
1010122a,GetData__8CResBaseFv,45e600
10101252,OnLoad__8CResBaseFv,45e610
10101270,OnUnLoad__8CResBaseFv,45e620
10101290,GetSizeUsed__8CResBaseFv,45e650
101012bc,HasZBuff__10CPVSurfaceFv,466940
101012e2,Resize__10CPVSurfaceFRC7CVSSize,466920
1010130c,HasBackBuff__10CPVSurfaceFv,466930
10101334,SetWorldWidth__10CPVSurfaceFi,466950
1010135c,GetWorldWidth__10CPVSurfaceFv,466960
10101386,HasZBuff__15CPVZBuffSurfaceFv,466990
101013b6,Update__9CTimeStatFUl,407ee0
101013e4,Draw__11CPushActiveFP4CGDI,439760
10101418,Render__11CPushActiveFP4CGDI,439770
1010146c,Draw__10CPopActiveFP4CGDI,4397d0
1010149e,Render__10CPopActiveFP4CGDI,4397e0
101014e8,Draw__5CZRLEFP4CGDI,467ae0
10101544,Render__5CZRLEFP4CGDI,467b10
10101598,Draw__7CBitmapFP4CGDI,4398a0
101015f6,Render__7CBitmapFP4CGDI,4398b0
1010164c,Draw__10CBigBitmapFP4CGDI,4398d0
101016b8,Render__10CBigBitmapFP4CGDI,4398e0
1010171a,Blit__8CSurfaceFP10CBigBitmapP10CResBITMAP,46dbc0
10101768,__dt__10CBigBitmapFv,439620
10101768,__dt__10CBigBitmapFv,439720
101017c0,Draw__5CAnimFP4CGDI,443a20
10101830,Render__5CAnimFP4CGDI,443a60
10101896,__dt__5CAnimFv,4439e0
10101896,__dt__5CAnimFv,4452e0
101018e8,Draw__5CLineFP4CGDI,439800
10101914,Render__5CLineFP4CGDI,439810
1010194e,Draw__10CSolidRectFP4CGDI,432b10
10101980,Render__10CSolidRectFP4CGDI,432b20
101019c0,Draw__12CDrawingMarkFP4CGDI,432380
101019f4,Render__12CDrawingMarkFP4CGDI,432390
10101a3c,__dt__12CDrawingMarkFv,432320
10101a8c,Draw__9CClipRectFP4CGDI,432ad0
10101abc,Render__9CClipRectFP4CGDI,432ae0
10101afa,__dt__9CClipRectFv,432ac0
10101afa,__dt__9CClipRectFv,467bb0
10101b46,__dt__9CCopyTextFv,46a220
10101bcc,Set__9CCopyTextFiiP8CResFONTPCcUlP6CRemap,46a080
10101c52,Set__9CCopyTextFRC8CVSPointP8CResFONT7CStringUlP6CRemap,46a1b0
10101ce8,Set__9CCopyTextFiiP8CResFONT7CStringUlP6CRemap,46a140
10101d74,Set__9CCopyTextFRC8CVSPointP8CResFONTPCcUlP6CRemap,46a0e0
10101e00,Draw__5CTextFP4CGDI,469b40
10101e34,Draw__13CScreenScrollFP4CGDI,439860
10101e6a,Render__13CScreenScrollFP4CGDI,439870
10101eae,__dt__13CScreenScrollFv,439650
